成語,解釋,分類
守株待兔,比喻死守狹隘經驗，不知變通。,attitude
鷸蚌相爭,比喻雙方爭執不相讓，必會造成兩敗俱傷，讓第三者獲得利益。,attitude
畫蛇添足,比喻多此一舉，反將事情弄糟。,attitude
一絲不苟,做事認真仔細,attitude
勤能補拙,以勤奮彌補資質的不足,attitude
力學不倦,努力學習不知疲倦,attitude
孜孜不倦,形容勤奮好學,attitude
全神貫注,完全集中精神,attitude
專心一意,專心專意,attitude
舉一反三,從一件事情類推到其他相關的事,method
觸類旁通,從一事物的特點類推到別的相關事物,method
融會貫通,充分理解,method
學以致用,把所學知識運用到實際中,method
循序漸進,按順序慢慢前進,method
熟能生巧,熟練掌握就能產生技巧,method
學無止境,學習是沒有止境的,method
思深悟遠,思考深刻,method
博學多聞,學識淵博,method
突飛猛進,進步特別快,result
青出於藍,學生的成就超過老師,result
臨淵履冰,處境艱難,result
精益求精,已經很好了還要求更好,result
明察秋毫,視察入微,result
卓爾不群,超群出眾,result
揮灑自如,做事毫不費力,result
爐火純青,技術或學問達到極高的境界,result
爛熟於心,把知識掌握得非常熟練,result
